observation_id,plant_id,genotype,source_row,source_cell,elapsed_hours,length_mm,split,plant_index
12L12D:R23,hy5:row23,hy5,23,R23,36,6.839,train,53
12L12D:W23,hy5:row23,hy5,23,W23,48,7.255,val,53
12L12D:AB23,hy5:row23,hy5,23,AB23,60,9.165,test,53
12L12D:AG23,hy5:row23,hy5,23,AG23,72,10.041,test,53
12L12D:C24,hy5:row24,hy5,24,C24,0,2.472,train,54
12L12D:H24,hy5:row24,hy5,24,H24,12,5.293,train,54
12L12D:M24,hy5:row24,hy5,24,M24,24,5.12,train,54
12L12D:R24,hy5:row24,hy5,24,R24,36,9.602,train,54
12L12D:W24,hy5:row24,hy5,24,W24,48,10.625,val,54
12L12D:AB24,hy5:row24,hy5,24,AB24,60,8.868,test,54
12L12D:AG24,hy5:row24,hy5,24,AG24,72,9.489,test,54
12L12D:C25,hy5:row25,hy5,25,C25,0,2.611,train,55
12L12D:H25,hy5:row25,hy5,25,H25,12,4.535,train,55
12L12D:M25,hy5:row25,hy5,25,M25,24,5.822,train,55
12L12D:R25,hy5:row25,hy5,25,R25,36,7.015,train,55
12L12D:W25,hy5:row25,hy5,25,W25,48,8.325,val,55
12L12D:AB25,hy5:row25,hy5,25,AB25,60,10.144,test,55
12L12D:AG25,hy5:row25,hy5,25,AG25,72,10.642,test,55
12L12D:C26,hy5:row26,hy5,26,C26,0,2.938,train,56
12L12D:H26,hy5:row26,hy5,26,H26,12,4.531,train,56
12L12D:M26,hy5:row26,hy5,26,M26,24,5.786,train,56
12L12D:R26,hy5:row26,hy5,26,R26,36,8.023,train,56
12L12D:AB26,hy5:row26,hy5,26,AB26,60,9.495,test,56
12L12D:AG26,hy5:row26,hy5,26,AG26,72,9.644,test,56
12L12D:C27,hy5:row27,hy5,27,C27,0,3.312,train,57
12L12D:H27,hy5:row27,hy5,27,H27,12,4.961,train,57
12L12D:M27,hy5:row27,hy5,27,M27,24,5.98,train,57
12L12D:R27,hy5:row27,hy5,27,R27,36,8.396,train,57
12L12D:W27,hy5:row27,hy5,27,W27,48,7.409,val,57
12L12D:AB27,hy5:row27,hy5,27,AB27,60,9.554,test,57
12L12D:AG27,hy5:row27,hy5,27,AG27,72,9.856,test,57
12L12D:C28,hy5:row28,hy5,28,C28,0,2.167,train,58
12L12D:H28,hy5:row28,hy5,28,H28,12,5.448,train,58
12L12D:M28,hy5:row28,hy5,28,M28,24,5.071,train,58
12L12D:R28,hy5:row28,hy5,28,R28,36,8.254,train,58
12L12D:W28,hy5:row28,hy5,28,W28,48,7.386,val,58
12L12D:AB28,hy5:row28,hy5,28,AB28,60,11.223,test,58
12L12D:AG28,hy5:row28,hy5,28,AG28,72,11.772,test,58
12L12D:C29,hy5:row29,hy5,29,C29,0,2.82,train,59
12L12D:M29,hy5:row29,hy5,29,M29,24,4.685,train,59
12L12D:W29,hy5:row29,hy5,29,W29,48,7.617,val,59
12L12D:AB29,hy5:row29,hy5,29,AB29,60,8.836,test,59
12L12D:AG29,hy5:row29,hy5,29,AG29,72,11.42,test,59
12L12D:C30,hy5:row30,hy5,30,C30,0,2.151,train,60
12L12D:M30,hy5:row30,hy5,30,M30,24,6.851,train,60
12L12D:AB30,hy5:row30,hy5,30,AB30,60,11.597,test,60
12L12D:AG30,hy5:row30,hy5,30,AG30,72,11.066,test,60
