year,genotype,genotype_index,date,dap,split,height_relative,n_replicates,temperature_c,station_gdd_f
2018,A385,34,2018-07-09,56,train,435.031502,2,28.88888889,1267
2018,A385,34,2018-07-12,59,train,516.4638155,2,28.88888889,1356
2018,A385,34,2018-07-17,64,train,493.6782655,2,24.44444444,1495
2018,A385,34,2018-07-24,71,train,521.1809495,2,23.33333333,1662.5
2018,A385,34,2018-07-31,78,train,494.9734905,2,23.05555556,1812
2018,A385,34,2018-08-09,87,train,473.4401305,2,26.66666667,2031.5
2018,A385,34,2018-08-17,95,train,542.437204,2,25,2248.5
2018,A427,35,2018-06-05,22,train,75.3200238,2,22.77777778,430
2018,A427,35,2018-06-13,30,train,106.1917529,2,20.83333333,585
2018,A427,35,2018-06-28,45,train,397.2128145,2,23.88888889,946
2018,A427,35,2018-07-09,56,train,384.5373415,2,28.88888889,1267
2018,A427,35,2018-07-12,59,train,459.7874025,2,28.88888889,1356
2018,A427,35,2018-07-17,64,train,426.5420595,2,24.44444444,1495
2018,A427,35,2018-07-24,71,train,457.7172065,2,23.33333333,1662.5
2018,A427,35,2018-07-31,78,train,417.047126,2,23.05555556,1812
2018,A427,35,2018-08-09,87,train,413.8781695,2,26.66666667,2031.5
2018,A427,35,2018-08-17,95,train,457.415881,2,25,2248.5
2018,A548,36,2018-06-05,22,train,57.5387605,1,22.77777778,430
2018,A548,36,2018-06-13,30,train,79.9472795,1,20.83333333,585
2018,A548,36,2018-06-28,45,train,408.8462245,2,23.88888889,946
2018,A548,36,2018-07-09,56,train,462.931988,2,28.88888889,1267
2018,A548,36,2018-07-12,59,train,544.8020225,2,28.88888889,1356
2018,A548,36,2018-07-17,64,train,531.5370285,2,24.44444444,1495
2018,A548,36,2018-07-24,71,train,543.840991,2,23.33333333,1662.5
2018,A548,36,2018-07-31,78,train,524.228601,2,23.05555556,1812
2018,A548,36,2018-08-09,87,train,516.9585495,2,26.66666667,2031.5
2018,A548,36,2018-08-17,95,train,601.674482,2,25,2248.5
2018,A556,37,2018-06-05,22,train,64.9543863,2,22.77777778,430
2018,A556,37,2018-06-13,30,train,88.80691245,2,20.83333333,585
2018,A556,37,2018-06-28,45,train,382.854462,2,23.88888889,946
2018,A556,37,2018-07-09,56,train,427.976937,2,28.88888889,1267
2018,A556,37,2018-07-12,59,train,477.782164,2,28.88888889,1356
2018,A556,37,2018-07-17,64,train,451.7812345,2,24.44444444,1495
2018,A556,37,2018-07-24,71,train,499.302289,2,23.33333333,1662.5
2018,A556,37,2018-07-31,78,train,475.4628115,2,23.05555556,1812
2018,A556,37,2018-08-09,87,train,461.637206,2,26.66666667,2031.5
2018,A556,37,2018-08-17,95,train,507.3369465,2,25,2248.5
2018,A572,38,2018-06-05,22,train,79.6503162,2,22.77777778,430
2018,A572,38,2018-06-13,30,train,103.0286253,2,20.83333333,585
2018,A572,38,2018-06-28,45,train,434.3139585,2,23.88888889,946
2018,A572,38,2018-07-09,56,train,422.3205745,2,28.88888889,1267
2018,A572,38,2018-07-12,59,train,459.0789475,2,28.88888889,1356
2018,A572,38,2018-07-17,64,train,410.0608785,2,24.44444444,1495
2018,A572,38,2018-07-24,71,train,461.796014,2,23.33333333,1662.5
