protocol,model,seed,split,genotype,condition,rmse
replicate,rf,1,test,EMS57,cR,0.5196248274277199
replicate,rf,1,test,phyAB,12L12D,0.36460425351900955
replicate,rf,1,test,phyAB,cR,0.5013958667271551
replicate,rf,2,train,Col-0,12L12D,0.2917551937241785
replicate,rf,2,train,Col-0,cR,0.14953091100812427
replicate,rf,2,train,hy5,12L12D,0.18484835225772833
replicate,rf,2,train,hy5,cR,0.24208968588746402
replicate,rf,2,train,MLB,12L12D,0.4063654090297584
replicate,rf,2,train,MLB,cR,0.16833377998481774
replicate,rf,2,train,EMS57,12L12D,0.33849169158629583
replicate,rf,2,train,EMS57,cR,0.358163763103042
replicate,rf,2,train,phyAB,12L12D,0.27249583107654096
replicate,rf,2,train,phyAB,cR,0.4521459165573956
replicate,rf,2,val,Col-0,12L12D,0.3250328830809729
replicate,rf,2,val,Col-0,cR,0.2511153024785209
replicate,rf,2,val,hy5,12L12D,0.3493000396031424
replicate,rf,2,val,hy5,cR,0.5563719628905714
replicate,rf,2,val,MLB,12L12D,0.42340375006422837
replicate,rf,2,val,MLB,cR,0.2993741077598573
replicate,rf,2,val,EMS57,12L12D,0.3727874003596045
replicate,rf,2,val,EMS57,cR,0.29424597947768305
replicate,rf,2,val,phyAB,12L12D,0.5130607532007669
replicate,rf,2,val,phyAB,cR,0.48161934792401523
replicate,rf,2,test,Col-0,12L12D,0.39134329498217424
replicate,rf,2,test,Col-0,cR,0.21065623734360778
replicate,rf,2,test,hy5,12L12D,0.25351614801791633
replicate,rf,2,test,hy5,cR,0.35953480146253075
replicate,rf,2,test,MLB,12L12D,0.4476390811992287
replicate,rf,2,test,MLB,cR,0.24409113103730787
replicate,rf,2,test,EMS57,12L12D,0.7018884149330419
replicate,rf,2,test,EMS57,cR,0.4709078460830599
replicate,rf,2,test,phyAB,12L12D,0.30618888919449266
replicate,rf,2,test,phyAB,cR,0.49395408275043834
replicate,rf,3,train,Col-0,12L12D,0.30233340195598907
replicate,rf,3,train,Col-0,cR,0.15887105240320695
replicate,rf,3,train,hy5,12L12D,0.1958072054070994
replicate,rf,3,train,hy5,cR,0.24620125199074896
replicate,rf,3,train,MLB,12L12D,0.3857975831755186
replicate,rf,3,train,MLB,cR,0.18982369397260013
replicate,rf,3,train,EMS57,12L12D,0.33487780723768124
replicate,rf,3,train,EMS57,cR,0.35331340422080304
replicate,rf,3,train,phyAB,12L12D,0.33934451545637945
replicate,rf,3,train,phyAB,cR,0.4844330054451591
replicate,rf,3,val,Col-0,12L12D,0.3442488075150544
replicate,rf,3,val,Col-0,cR,0.27530115652220577
replicate,rf,3,val,hy5,12L12D,0.3651885371342457
replicate,rf,3,val,hy5,cR,0.5310554531422228
replicate,rf,3,val,MLB,12L12D,0.4033386788306552
replicate,rf,3,val,MLB,cR,0.31831199908125835
replicate,rf,3,val,EMS57,12L12D,0.3586184087981421
replicate,rf,3,val,EMS57,cR,0.2654904897177867
replicate,rf,3,val,phyAB,12L12D,0.5679266398133571
replicate,rf,3,val,phyAB,cR,0.5065525962114772
replicate,rf,3,test,Col-0,12L12D,0.4047686353159023
replicate,rf,3,test,Col-0,cR,0.19241124274646754
replicate,rf,3,test,hy5,12L12D,0.28351892790959826
replicate,rf,3,test,hy5,cR,0.3648628760015519
replicate,rf,3,test,MLB,12L12D,0.4224358717004185
replicate,rf,3,test,MLB,cR,0.30789070910351324
replicate,rf,3,test,EMS57,12L12D,0.675653455678124
replicate,rf,3,test,EMS57,cR,0.5242551242624778
replicate,rf,3,test,phyAB,12L12D,0.35528062019445644
replicate,rf,3,test,phyAB,cR,0.5324079878877682
replicate,light_logistic,1,train,Col-0,12L12D,0.27211913024168644
replicate,light_logistic,1,train,Col-0,cR,0.14419685882309527
replicate,light_logistic,1,train,hy5,12L12D,0.3206118914869897
replicate,light_logistic,1,train,hy5,cR,0.331823134305022
replicate,light_logistic,1,train,MLB,12L12D,0.30341463057237245
replicate,light_logistic,1,train,MLB,cR,0.29114128046359755
